汉字,拼音,英文释义,场景标签,例句
公司,gongsi,company,公司管理,我们公司有500名员工。Our company has 500 employees.
市场,shichang,market,市场营销,市场需求很大。Market demand is high.
企业,qiye,enterprise,公司管理,这是一家大型企业。This is a large enterprise.
投资,touzi,investment,金融投资,我们需要更多投资。We need more investment.
银行,yinhang,bank,金融服务,我去银行办业务。I'm going to the bank for business.
美元,meiyuan,dollar,货币交易,汇率是1美元兑7元人民币。The exchange rate is 1 dollar to 7 RMB.
资金,zijin,capital/fund,财务管理,我们需要筹集资金。We need to raise capital.
业务,yewu,business,业务洽谈,我们的业务范围很广。Our business scope is wide.
增长,zengzhang,growth,业绩报告,销售额增长了20%。Sales increased by 20%.
产品,chanpin,product,产品开发,这是我们的新产品。This is our new product.
价格,jiage,price,价格谈判,价格可以商量。The price is negotiable.
管理,guanli,management,公司管理,他负责项目管理。He is responsible for project management.
经济,jingji,economy,经济分析,经济形势很好。The economic situation is good.
风险,fengxian,risk,风险评估,我们需要评估风险。We need to assess the risk.
贷款,daikuan,loan,金融服务,公司申请了贷款。The company applied for a loan.
大盘,dapan,large cap,股票市场,大盘今天上涨了。The large cap rose today.
行业,hangye,industry,行业分析,这是一个新兴行业。This is an emerging industry.
基金,jijin,fund,金融投资,我投资了一个基金。I invested in a fund.
金融,jinrong,finance,金融服务,金融市场很活跃。The financial market is active.
生产,shengchan,production,生产管理,生产效率提高了。Production efficiency has improved.
经营,jingying,to operate/manage,公司经营,公司经营状况良好。The company is operating well.
财经,caijing,finance and economics,财经新闻,这是财经新闻。This is financial news.
客户,kehu,client/customer,客户服务,客户很满意。The customer is satisfied.
上市,shangshi,to be listed,股票市场,公司计划上市。The company plans to go public.
上市公司,shangshigongsi,listed company,股票市场,这是一家上市公司。This is a listed company.
交易,jiaoyi,transaction/trade,商业交易,交易已经完成。The transaction is completed.
监管,jianguan,supervision,法律合规,政府加强了监管。The government has strengthened supervision.
上涨,shangzhang,rise/increase,股票市场,股价上涨了10%。The stock price rose 10%.
销售,xiaoshou,sales,销售管理,销售业绩很好。Sales performance is good.
走势,zoushi,trend,市场分析,市场走势向好。The market trend is positive.
股票,gupiao,stock,股票市场,我买了一些股票。I bought some stocks.
个股,gegu,individual stock,股票市场,这只个股表现不错。This individual stock performs well.
发行,faxing,issue/publish,金融服务,公司发行了新股。The company issued new shares.
资产,zichan,asset,资产管理,公司资产增加了。Company assets have increased.
品牌,pinpai,brand,品牌营销,我们要打造品牌。We need to build the brand.
保险,baoxian,insurance,金融服务,我买了商业保险。I bought business insurance.
行情,hangqing,market situation,市场分析,市场行情不错。The market situation is good.
下跌,xiadie,fall/decline,股票市场,股价下跌了5%。The stock price fell 5%.
人民币,renminbi,RMB,货币交易,我需要兑换人民币。I need to exchange RMB.
大幅,dafu,substantially,市场分析,价格大幅上涨。Prices rose substantially.
改革,gaige,reform,政策改革,公司进行了改革。The company carried out reforms.
全球,quanqiu,global,国际贸易,我们的业务遍布全球。Our business is global.
消费者,xiaofeizhe,consumer,市场营销,消费者需求多样化。Consumer demands are diverse.
产业,chanye,industry,产业发展,这是支柱产业。This is a pillar industry.
金融机构,jinrongjigou,financial institution,金融服务,银行是金融机构。Banks are financial institutions.
反弹,fantan,rebound,股票市场,股市出现反弹。The stock market rebounded.
利润,lirun,profit,财务报告,公司利润增加了。Company profits increased.
信息,xinxi,information,信息交流,我需要更多信息。I need more information.
股价,gujia,stock price,股票市场,股价稳定上升。Stock prices are rising steadily.
成本,chengben,cost,成本控制,我们要降低成本。We need to reduce costs.
会议,huiyi,meeting/conference,商务会议,明天有一个重要会议。There is an important meeting tomorrow.
议程,yicheng,agenda,会议安排,请看会议议程。Please see the meeting agenda.
主持,zhuchi,chair/host,会议管理,他主持了会议。He chaired the meeting.
发言,fayan,speak/address,会议发言,请您发言。Please speak.
讨论,taolun,discuss,会议讨论,我们需要讨论这个问题。We need to discuss this issue.
决议,jueyi,resolution,会议决定,会议通过了决议。The meeting passed a resolution.
记录,jilu,record/minutes,会议记录,请做好会议记录。Please take meeting minutes.
参加,canjia,attend/participate,会议参与,我会参加会议。I will attend the meeting.
出席,chuxi,attend/be present,会议参与,总经理出席了会议。The CEO attended the meeting.
缺席,quexi,absent,会议参与,他今天缺席了。He was absent today.
谈判,tanpan,negotiation,商务谈判,我们正在谈判。We are negotiating.
合作,hezuo,cooperation,商务合作,我们需要合作。We need to cooperate.
协商,xieshang,consult/negotiate,商务谈判,双方正在协商。Both parties are consulting.
条件,tiaojian,condition/term,谈判条件,这些是我们的条件。These are our conditions.
要求,yaoqiu,requirement/demand,业务要求,客户有特殊要求。The customer has special requirements.
让步,rangbu,concession,谈判策略,我们可以做出让步。We can make concessions.
妥协,tuoxie,compromise,谈判策略,双方达成了妥协。Both sides reached a compromise.
方案,fangan,plan/scheme,项目方案,这是我们的方案。This is our plan.
建议,jianyi,suggestion/proposal,业务建议,我有一个建议。I have a suggestion.
意见,yijian,opinion,意见交流,请提出您的意见。Please give your opinion.
合同,hetong,contract,合同管理,请签署合同。Please sign the contract.
协议,xieyi,agreement,商务协议,我们签署了协议。We signed an agreement.
条款,tiaokuan,clause/term,合同条款,请仔细阅读条款。Please read the terms carefully.
签字,qianzi,sign,合同签署,请在这里签字。Please sign here.
盖章,gaizhang,stamp/seal,文件处理,需要盖公章。An official seal is needed.
履行,lüxing,fulfill/perform,合同执行,我们会履行合同。We will fulfill the contract.
违约,weiyue,breach of contract,法律条款,这是违约行为。This is a breach of contract.
终止,zhongzhi,terminate,合同管理,合同已经终止。The contract has been terminated.
续签,xuqian,renew,合同管理,我们需要续签合同。We need to renew the contract.
有效期,youxiaoqi,validity period,时间期限,合同有效期是三年。The contract validity is three years.
财务,caiwu,finance,财务管理,财务部门很重要。The finance department is important.
预算,yusuan,budget,财务规划,我们需要制定预算。We need to make a budget.
收入,shouru,revenue/income,财务报告,公司收入增加了。Company revenue increased.
支出,zhichu,expenditure,财务管理,要控制支出。We need to control expenditure.
账户,zhanghu,account,财务管理,请开立账户。Please open an account.
发票,fapiao,invoice,财务单据,请开具发票。Please issue an invoice.
报销,baoxiao,reimbursement,财务流程,我需要报销费用。I need to reimburse expenses.
审计,shenji,audit,财务审查,公司正在审计。The company is being audited.
税收,shuishou,tax,财务税务,我们需要缴纳税收。We need to pay taxes.
盈利,yingli,profit,财务指标,公司实现了盈利。The company made a profit.
亏损,kuisun,loss,财务状况,公司出现了亏损。The company incurred losses.
债务,zhaiwu,debt,财务管理,公司有一些债务。The company has some debt.
融资,rongzi,financing,资金筹集,我们正在融资。We are raising financing.
现金,xianjin,cash,资金管理,我们需要现金流。We need cash flow.
结算,jiesuan,settlement,财务处理,款项已经结算。The payment has been settled.
员工,yuangong,employee/staff,人力资源,公司有200名员工。The company has 200 employees.
招聘,zhaopin,recruitment,人才招聘,我们正在招聘。We are recruiting.
面试,mianshi,interview,招聘流程,明天有面试。There is an interview tomorrow.
简历,jianli,resume/CV,求职材料,请发送您的简历。Please send your resume.
培训,peixun,training,员工发展,公司提供培训。The company provides training.
薪资,xinzi,salary,薪酬福利,薪资待遇优厚。The salary is competitive.
福利,fuli,welfare/benefit,员工福利,公司福利很好。Company benefits are good.
辞职,cizhi,resign,人事变动,他提交了辞职信。He submitted his resignation.
解雇,jiegu,dismiss/fire,人事处理,公司解雇了他。The company fired him.
晋升,jinsheng,promotion,职业发展,他得到了晋升。He got a promotion.
职位,zhiwei,position/post,工作岗位,这是一个重要职位。This is an important position.
部门,bumen,department,组织架构,我在市场部门工作。I work in the marketing department.
经理,jingli,manager,管理职位,他是销售经理。He is the sales manager.
总监,zongjiān,director,高级职位,她是财务总监。She is the finance director.
同事,tongshi,colleague,工作关系,我的同事很友好。My colleagues are friendly.
营销,yingxiao,marketing,市场推广,我们需要营销策略。We need a marketing strategy.
推广,tuiguang,promote,市场推广,产品正在推广。The product is being promoted.
广告,guanggao,advertisement,宣传推广,我们要做广告。We need to advertise.
宣传,xuanchuan,publicity,品牌宣传,公司加强了宣传。The company strengthened publicity.
促销,cuxiao,sales promotion,销售活动,现在有促销活动。There is a sales promotion now.
折扣,zhekou,discount,价格优惠,我们提供折扣。We offer discounts.
竞争,jingzheng,competition,市场竞争,市场竞争很激烈。Market competition is fierce.
优势,youshi,advantage,竞争优势,我们有竞争优势。We have competitive advantages.
劣势,lieshi,disadvantage,竞争分析,这是我们的劣势。This is our disadvantage.
渠道,qudao,channel,销售渠道,我们有多个销售渠道。We have multiple sales channels.
客源,keyuan,customer base,客户资源,客源很稳定。The customer base is stable.
需求,xuqiu,demand,市场需求,市场需求在增长。Market demand is growing.
供应,gongying,supply,供应链,供应充足。The supply is sufficient.
订单,dingdan,order,业务订单,我们收到了订单。We received an order.
配送,peisong,delivery,物流配送,我们提供配送服务。We provide delivery service.
项目,xiangmu,project,项目管理,这是一个大项目。This is a big project.
计划,jihua,plan,项目规划,我们制定了计划。We made a plan.
进度,jindu,progress,项目进展,项目进度正常。The project progress is normal.
完成,wancheng,complete,任务完成,任务已经完成。The task is completed.
延期,yanqi,postpone/delay,时间调整,项目延期了。The project is delayed.
质量,zhiliang,quality,质量控制,质量很重要。Quality is important.
验收,yanshou,acceptance,项目验收,项目通过了验收。The project passed acceptance.
团队,tuandui,team,团队建设,我们有一个好团队。We have a good team.
协调,xietiao,coordinate,团队协作,需要协调各方。We need to coordinate all parties.
分工,fengong,division of work,任务分配,我们要明确分工。We need clear division of work.
研发,yanfa,R&D,技术开发,公司重视研发。The company values R&D.
技术,jishu,technology,技术创新,技术很先进。The technology is advanced.
创新,chuangxin,innovation,创新发展,我们要创新。We need to innovate.
专利,zhuanli,patent,知识产权,公司申请了专利。The company applied for a patent.
设计,sheji,design,产品设计,产品设计很好。The product design is good.
测试,ceshi,test,质量测试,产品正在测试。The product is being tested.
改进,gaijin,improve,持续改进,我们要改进产品。We need to improve the product.
升级,shengji,upgrade,技术升级,系统需要升级。The system needs an upgrade.
维护,weihu,maintain,系统维护,定期维护很重要。Regular maintenance is important.
性能,xingneng,performance,产品性能,性能很稳定。The performance is stable.
采购,caigou,procurement,物资采购,我们需要采购原材料。We need to procure raw materials.
供应商,gongyingshang,supplier,供应链管理,这是我们的供应商。This is our supplier.
原材料,yuancailiao,raw material,生产资料,原材料价格上涨。Raw material prices are rising.
库存,kucun,inventory,库存管理,库存充足。Inventory is sufficient.
仓库,cangku,warehouse,物流仓储,货物在仓库里。The goods are in the warehouse.
运输,yunshu,transport,物流运输,货物正在运输中。The goods are being transported.
物流,wuliu,logistics,物流管理,物流很快。Logistics is fast.
报关,baoguan,customs declaration,进出口,货物需要报关。The goods need customs declaration.
进口,jinkou,import,国际贸易,我们进口产品。We import products.
出口,chukou,export,国际贸易,公司出口到海外。The company exports overseas.
标准,biaozhun,standard,质量标准,产品符合标准。The product meets standards.
检验,jianyan,inspect,质量检验,产品需要检验。The product needs inspection.
认证,renzheng,certification,质量认证,公司通过了认证。The company passed certification.
缺陷,quexian,defect,质量问题,产品有缺陷。The product has defects.
投诉,tousu,complaint,客户反馈,客户提出了投诉。The customer made a complaint.
退货,tuihuo,return,售后服务,客户要求退货。The customer requested a return.
换货,huanhuo,exchange,售后服务,可以换货。You can exchange it.
保修,baoxiu,warranty,售后服务,产品有一年保修。The product has a one-year warranty.
维修,weixiu,repair,售后服务,我们提供维修服务。We provide repair service.
赔偿,peichang,compensation,法律责任,公司会赔偿损失。The company will compensate for losses.
法律,falü,law,法律事务,这符合法律。This complies with the law.
法规,fagui,regulation,法律规范,要遵守法规。We must comply with regulations.
政策,zhengce,policy,政策法规,政府发布了新政策。The government issued a new policy.
规定,guiding,regulation,规章制度,公司有明确规定。The company has clear regulations.
许可,xuke,permit/license,行政许可,我们获得了许可。We obtained the permit.
执照,zhizhao,license,营业执照,公司有营业执照。The company has a business license.
资质,zizhi,qualification,企业资质,公司具备资质。The company has qualifications.
诉讼,susong,lawsuit,法律纠纷,双方进入了诉讼。Both parties entered litigation.
仲裁,zhongcai,arbitration,纠纷解决,通过仲裁解决。Resolved through arbitration.
知识产权,zhishichanquan,intellectual property,法律保护,保护知识产权。Protect intellectual property.
礼仪,liyi,etiquette,商务礼仪,商务礼仪很重要。Business etiquette is important.
问候,wenhou,greet,社交礼仪,请向他问候。Please greet him.
介绍,jieshao,introduce,社交场合,让我介绍一下。Let me introduce.
名片,mingpian,business card,商务交流,这是我的名片。This is my business card.
礼物,liwu,gift,商务礼品,我们准备了礼物。We prepared gifts.
邀请,yaoqing,invite,商务活动,我们邀请您参加。We invite you to attend.
接待,jiedai,receive/host,商务接待,我们会接待客户。We will receive the customers.
陪同,peitong,accompany,商务服务,我会陪同您参观。I will accompany you on the tour.
预约,yuyue,appointment,时间安排,我想预约时间。I want to make an appointment.
拜访,baifang,visit,商务拜访,我们去拜访客户。We will visit the customer.
沟通,goutong,communicate,交流沟通,我们需要沟通。We need to communicate.
交流,jiaoliu,exchange,信息交流,欢迎交流意见。Welcome to exchange opinions.
反馈,fankui,feedback,信息反馈,请给我反馈。Please give me feedback.
回复,huifu,reply,邮件回复,我会尽快回复。I will reply soon.
确认,queren,confirm,信息确认,请确认信息。Please confirm the information.
通知,tongzhi,notify,信息通知,我会通知您。I will notify you.
联系,lianxi,contact,保持联系,请保持联系。Please keep in touch.
电话,dianhua,telephone,通讯方式,请给我打电话。Please call me.
邮件,youjian,email,电子邮件,请发邮件给我。Please send me an email.
传真,chuanzhen,fax,文件传输,我会发传真。I will send a fax.
日程,richeng,schedule,时间安排,请查看日程。Please check the schedule.
安排,anpai,arrange,时间规划,我会安排时间。I will arrange the time.
截止,jiezhi,deadline,时间期限,截止日期是明天。The deadline is tomorrow.
期限,qixian,deadline,时间限制,请注意期限。Please note the deadline.
推迟,tuichi,postpone,时间调整,会议推迟了。The meeting is postponed.
提前,tiqian,advance,时间提前,我们提前完成了。We finished ahead of schedule.
及时,jishi,timely,时间要求,请及时处理。Please handle it timely.
准时,zhunshi,on time,时间准确,请准时到达。Please arrive on time.
延长,yanchang,extend,时间延长,期限延长了。The deadline is extended.
持续,chixu,continue,时间延续,项目持续进行。The project continues.
数据,shuju,data,数据分析,我们需要分析数据。We need to analyze the data.
统计,tongji,statistics,数据统计,这是销售统计。This is sales statistics.
报告,baogao,report,报告撰写,请提交报告。Please submit the report.
分析,fenxi,analyze,数据分析,我们要分析市场。We need to analyze the market.
图表,tubiao,chart,数据展示,请看这个图表。Please look at this chart.
比例,bili,proportion,数据比例,市场份额比例是30%。Market share proportion is 30%.
百分比,baifenbi,percentage,数据百分比,增长率是10%。The growth rate is 10%.
趋势,qushi,trend,发展趋势,市场趋势向好。The market trend is positive.
预测,yuce,forecast,未来预测,我们预测销售增长。We forecast sales growth.
评估,pinggu,evaluate,效果评估,需要评估效果。We need to evaluate the results.
战略,zhanlüe,strategy,战略规划,这是公司战略。This is the company strategy.
目标,mubiao,goal/target,目标设定,我们的目标是增长20%。Our goal is 20% growth.
规划,guihua,planning,长期规划,我们制定了五年规划。We made a five-year plan.
发展,fazhan,development,企业发展,公司发展很快。The company is developing fast.
扩张,kuozhang,expansion,业务扩张,公司正在扩张。The company is expanding.
转型,zhuanxing,transformation,企业转型,公司在转型升级。The company is transforming.
并购,binggou,M&A,企业并购,公司计划并购。The company plans M&A.
重组,chongzu,restructure,组织重组,企业进行了重组。The enterprise restructured.
上市,shangshi,IPO,资本运作,公司准备上市。The company is preparing for IPO.
退出,tuichu,exit,市场退出,公司退出了市场。The company exited the market.
危机,weiji,crisis,危机管理,公司面临危机。The company faces a crisis.
应对,yingdui,respond,危机应对,我们要应对挑战。We need to respond to challenges.
处理,chuli,handle,问题处理,请处理这个问题。Please handle this issue.
解决,jiejue,solve,问题解决,问题已经解决。The problem is solved.
补救,bujiu,remedy,补救措施,我们采取了补救措施。We took remedial measures.
恢复,huifu,recover,业务恢复,业务正在恢复。Business is recovering.
调整,tiaozheng,adjust,策略调整,我们调整了策略。We adjusted the strategy.
改善,gaishan,improve,持续改善,情况在改善。The situation is improving.
监控,jiankong,monitor,风险监控,我们要监控风险。We need to monitor risks.
预防,yufang,prevent,风险预防,要预防风险。We need to prevent risks.
汇率,huilü,exchange rate,货币兑换,今天的汇率是多少？What's the exchange rate today?
外汇,waihui,foreign exchange,外汇交易,我们需要兑换外汇。We need to exchange foreign currency.
证券,zhengquan,securities,证券市场,证券市场很活跃。The securities market is active.
债券,zhaiquan,bond,债券投资,政府发行了债券。The government issued bonds.
期货,qihuo,futures,期货交易,期货价格上涨了。Futures prices rose.
财政,caizheng,finance,财政预算,财政状况良好。The fiscal situation is good.
货款,huokuan,payment for goods,货款结算,货款已经支付。Payment for goods has been made.
定金,dingjin,deposit,订金支付,请先付定金。Please pay the deposit first.
余额,yue,balance,账户余额,账户余额充足。The account balance is sufficient.
转账,zhuanzhang,transfer,资金转账,我需要转账。I need to transfer money.
决策,juece,decision,管理决策,这是重要决策。This is an important decision.
执行,zhixing,execute,执行力,我们要执行计划。We need to execute the plan.
监督,jiandu,supervise,监督管理,需要加强监督。We need to strengthen supervision.
考核,kaohe,assess,绩效考核,年度考核开始了。Annual assessment has begun.
激励,jili,incentive,员工激励,公司有激励机制。The company has an incentive system.
流程,liucheng,process,业务流程,优化工作流程。Optimize the work process.
制度,zhidu,system,管理制度,公司制度完善。Company system is complete.
效率,xiaolü,efficiency,工作效率,提高工作效率。Improve work efficiency.
效益,xiaoyi,benefit,经济效益,经济效益显著。Economic benefits are significant.
责任,zeren,responsibility,工作责任,这是我的责任。This is my responsibility.
份额,fene,share,市场份额,市场份额增加了。Market share has increased.
占有率,zhanyoulü,market share,市场占有,占有率达到30%。Market share reaches 30%.
定位,dingwei,positioning,市场定位,产品定位准确。Product positioning is accurate.
目标市场,mubiaooshichang,target market,市场策略,我们的目标市场是年轻人。Our target market is young people.
潜在客户,qianzaikehu,potential customer,客户开发,开发潜在客户。Develop potential customers.
忠诚度,zhongchengdu,loyalty,客户忠诚,提高客户忠诚度。Improve customer loyalty.
满意度,manyidu,satisfaction,客户满意,客户满意度很高。Customer satisfaction is high.
口碑,koubei,reputation,品牌口碑,口碑很好。The reputation is good.
影响力,yingxiangli,influence,品牌影响,品牌影响力扩大。Brand influence is expanding.
知名度,zhimingdu,popularity,品牌知名度,提高品牌知名度。Increase brand awareness.
设备,shebei,equipment,生产设备,更新生产设备。Update production equipment.
机器,jiqi,machine,机械设备,机器运转正常。The machine is running normally.
工艺,gongyi,technology,生产工艺,改进生产工艺。Improve production technology.
产能,channeng,capacity,生产能力,扩大产能。Expand production capacity.
产量,chanliang,output,生产产量,产量提高了。Output has increased.
效能,xiaoneng,efficiency,生产效能,提高生产效能。Improve production efficiency.
组装,zuzhuang,assembly,产品组装,产品正在组装。The product is being assembled.
包装,baozhuang,packaging,产品包装,包装很精美。The packaging is exquisite.
加工,jiagong,process,产品加工,产品正在加工。The product is being processed.
制造,zhizao,manufacture,产品制造,中国制造。Made in China.
代理,daili,agent,销售代理,我们需要代理商。We need agents.
经销商,jingxiaoshang,distributor,销售网络,经销商遍布全国。Distributors are nationwide.
批发,pifa,wholesale,批发零售,我们做批发业务。We do wholesale business.
零售,lingshou,retail,零售业务,零售价格更高。Retail price is higher.
提成,ticheng,commission,销售提成,销售有提成。Sales have commission.
业绩,yeji,performance,销售业绩,业绩突出。Outstanding performance.
指标,zhibiao,indicator,业绩指标,完成了指标。The target is achieved.
配额,peie,quota,销售配额,销售配额已完成。Sales quota is completed.
返利,fanli,rebate,销售返利,有销售返利。There is a sales rebate.
回扣,huikou,kickback,商业回扣,禁止回扣。Kickbacks are prohibited.
软件,ruanjian,software,软件开发,开发新软件。Develop new software.
硬件,yingjian,hardware,硬件设备,更新硬件设备。Update hardware equipment.
系统,xitong,system,管理系统,系统很稳定。The system is stable.
平台,pingtai,platform,业务平台,搭建电商平台。Build an e-commerce platform.
网络,wangluo,network,网络技术,网络连接正常。Network connection is normal.
数据库,shujuku,database,数据管理,建立数据库。Establish a database.
接口,jiekou,interface,系统接口,对接接口。Interface integration.
功能,gongneng,function,产品功能,功能强大。Powerful functions.
模块,mokuai,module,系统模块,添加新模块。Add new modules.
版本,banben,version,软件版本,升级到新版本。Upgrade to new version.
伙伴,huoban,partner,合作伙伴,我们是合作伙伴。We are partners.
联盟,lianmeng,alliance,战略联盟,建立战略联盟。Establish strategic alliance.
共赢,gongying,win-win,合作共赢,实现合作共赢。Achieve win-win cooperation.
互利,huli,mutually beneficial,互利合作,互利互惠。Mutually beneficial.
双赢,shuangying,win-win,双赢局面,创造双赢局面。Create a win-win situation.
资源,ziyuan,resource,资源整合,整合资源。Integrate resources.
优化,youhua,optimize,资源优化,优化配置。Optimize allocation.
整合,zhenghe,integrate,业务整合,整合业务。Integrate business.
协同,xietong,synergy,协同效应,产生协同效应。Generate synergy.
共享,gongxiang,share,资源共享,实现资源共享。Achieve resource sharing.
跨国,kuaguo,transnational,跨国经营,跨国公司。Transnational corporation.
海外,haiwai,overseas,海外市场,拓展海外市场。Expand overseas market.
本土,bentu,local,本土化,实现本土化。Achieve localization.
总部,zongbu,headquarters,公司总部,总部在北京。Headquarters is in Beijing.
分公司,fengongsi,branch,分支机构,成立分公司。Establish a branch.
子公司,zigongsi,subsidiary,控股公司,收购子公司。Acquire a subsidiary.
